set,target
{'机械设备'- '设备'- '器材'},    '设备'
{'签订'- '签定'},    '签定'
{'责令'- '下令'- '强行'},    '下令'
{'强调'- '注重'},    '强调'
{'抢救'- '救援'- '施救'},    '救援'
{'实际'- '切实可行'- '切实'},    '实际'
{'清理'- '清洗'},    '清理'
{'情况'- '状态'- '状况'},    '情况'
{'屈服于'- '屈服'},    '屈服'
{'得到'- '取得'},    '得到'
{'任何'- '全部'},    '任何'
{'缺乏'- '缺失'- '匮乏'},    '缺乏'
{'缺乏'- '缺失'- '缺少'},
{'隐患'- '缺陷'- '安全隐患'},   隐患
{'确保'- '确保安全'- '保障'},    确保
{'核实'- '验证'- '确认'},    确认
{'人民'- '人们'},    人们
{'人员'- '员工'- '管理人员'},    人员
{'认识'- '知悉'- '了解'},    认识
{'认识'- '熟悉'- '掌握'},    认识
{'认真'- '负责'},    认真
{'依然'- '仍然'},    依然
{'未经'- '私自'- '擅自'},    私自
{'随意'- '随便'},    随便
{'伤亡'-  '人员伤亡'},    伤亡
{'伤亡'- '死亡'},    伤亡
{'反映'- '上报'},    反映
{ '上升'- '提高'},    上升
{'零星'- '少量'},    少量
{'设立'- '新建'- '成立'},    新建
{'防洪设施'- '设施'},    设施
{'身为'- '作为'},    作为
{'审定'- '审查'},    审查
{'审批'- '审核'- '审查'},    审查
{'报批'- '审批'- '批准'},    审批
{'失效'- '失灵'- '无效'},    失效
{'疏于'-  '疏忽'},    疏忽
{'玩忽职守'- '失职'},    失职
{'基本建设'- '工程施工'- '施工'},    施工
{'施工方'- '施工单位'},    施工方
{'真实性'- '真正'},    真正
{'一定'- '势必'- '必然'},    必然
{'此起事故'- '这起事故'},   这起事故
{'测试'- '试验'},    试验
{'受压'- '压力'},    压力
{'粗心大意'- '疏于'- '疏忽'},  疏忽
{'数据'- '信息'- '资料'},    数据
{'说明'- '注明'- '介绍'},    说明
{'坍方'- '坍塌'- '塌方'},    坍塌
{'垮塌'- '坍塌'},    坍塌
{'特别'- '超常规'- '特种'},    特殊
{'特种'- '超常规'- '特殊'},    特殊
{'提及'- '提交'- '提出'},    提出
{'规格'- '条件'- '状况'},    状况
{'遵守'- '听从'},    听从
{'通道'- '安全通道'},    通道
{'通知单'- '通知书'},   通知书
{'同意'- '允许'},    同意
{'整体'- '完全'},    完全
{'危险性'- '不安全'- '危险'},    危险
{'以便'- '为了'},    以便
{'触犯'- '违犯'- '违背'},    违犯
{'违法行为'- '违规'},    违规
{'违法开工'- '违规开工'},    违规开工
{'违法私自'- '违规行为'- '违法违规'},   违规
{'触犯'- '违规'- '违反'},    违反
{'违犯'- '违反'- '违法从事'},    违法
{'违章指挥'- '违规指挥'},    违规指挥
{'委托'- '指派'- '委派'},    委托
{'稳定性'- '稳定'- '稳固'},    稳定
{'掉以轻心'- '无视'},    无视
{'指示'- '下达'},    指示
{'有关'- '关系'- '相关'},    相关
{'相连'- '相邻'},    相连
{'小于'- '低于'},    小于
{'减弱'- '削弱'},    减弱
{'一拖再拖'- '延至'},    延至
{'邀集'- '邀请'},    邀请
{'屡次'- '重复'- '一再'},    一直
{'一直'- '频频'- '始终'},    一直
{'之后'- '以后'},    之后
{'使得'- '致使'- '引起'},    引起
{'应有'- '应该'- '应当'},    应该
{'鉴于'- '因为'- '由于'},    因为
{'预兆'- '征兆'},    预兆
{'职工'- '员工'- '工作人员'},    职工
{'重新'- '再次'},    重新
{'造成'- '致使'- '以致'},   造成
{'义务'- '责任'- '职责'},    职责
{'责任者'- '责任人'},    责任人
{'向上'-  '提高'},    提高
{'增加'- '追加'},    '增加'
{'长期'- '长时间'},    长期
{'知道'- '明知'- '知悉'},    知道
{'察觉'- '知悉'},    知道
{'带领'- '指挥'},    指挥
{'制定'- '订立'},    制定
{'制约'- '制止'},    制止
{'重大'- '重点'},    重点
{'主管部门'- '监管部门'},    监管部门
{'专项'- '专门'},    专门
{'装潢'- '装修'},    装潢
{'资料'- '文件'},    文件
{'自身'- '自我'- '自己'},    自己
{'劳动'- '作业'},    作业
{'提高'- '提升'},   提高

